,1Year,1month,3month,6month,PostEarningsReturn,Underlying,accountsPayable,capitalExpenditures,capitalSurplus,cash,changeInCash,changeToAccountReceivables,changeToInventory,changeToLiabilities,changeToNetincome,changeToOperatingActivities,close,commonStock,costOfRevenue,deferredLongTermAssetCharges,deferredLongTermLiab,depreciation,discontinuedOperations,dividendsPaid,ebit,effectOfAccountingCharges,effectOfExchangeRate,epsActual,epsDifference,epsEstimate,extraordinaryItems,goodWill,grossProfit,incomeBeforeTax,incomeTaxExpense,intangibleAssets,interestExpense,inventory,investments,longTermDebt,longTermInvestments,maxAge,minorityInterest,minorityInterest_balance,netBorrowings,netIncome,netIncomeApplicableToCommonShares,netIncomeFromContinuingOps,netReceivables,netTangibleAssets,nonRecurring,open,operatingIncome,otherAssets,otherCashflowsFromFinancingActivities,otherCashflowsFromInvestingActivities,otherCurrentAssets,otherCurrentLiab,otherItems,otherLiab,otherOperatingExpenses,otherStockholderEquity,propertyPlantEquipment,quarter,researchDevelopment,retainedEarnings,sellingGeneralAdministrative,shortLongTermDebt,shortTermInvestments,surprisePercent,timestamp,totalAssets,totalCashFromFinancingActivities,totalCashFromOperatingActivities,totalCashflowsFromInvestingActivities,totalCurrentAssets,totalCurrentLiabilities,totalLiab,totalOperatingExpenses,totalOtherIncomeExpenseNet,totalRevenue,totalStockholderEquity,treasuryStock
0,0.2258464079273328,-0.029897075641235116,0.044870666901284606,0.1784084143679301,0.045432434629287505,A,305000000,-58000000,5300000000,2678000000,115000000,-52000000,-15000000,-9000000,38000000,97000000,62.14,3000000,542000000,240000000,,52000000,,-43000000,270000000,,-7000000,0.67,0.05,0.62,,2607000000,647000000,226000000,49000000,361000000,-20000000,575000000,-1000000,1801000000,138000000,1,4000000,4000000,-70000000,177000000,177000000,177000000,801000000,1863000000,,62.15,270000000,394000000,-14000000,-1000000,115000000,385000000,,527000000,,-346000000,757000000,2017-10-31,89000000,-126000000,288000000,2011000000,,0.081,2017-08-16,8426000000,-106000000,288000000,-60000000,4169000000,1263000000,3591000000,919000000,-44000000,1189000000,4831000000,-346000000
1,0.553285968028419,0.043867502238137845,0.1111817026683608,0.1926355267644051,-0.0007149496265075134,A,292000000,-60000000,5320000000,2887000000,209000000,-5000000,-34000000,-3000000,31000000,-38000000,69.91,3000000,538000000,,,51000000,,-48000000,239000000,,24000000,0.66,0.08,0.58,,2633000000,673000000,233000000,553000000,341000000,-20000000,608000000,-1000000,1800000000,140000000,1,4000000,4000000,135000000,-320000000,-320000000,-320000000,751000000,1548000000,,70.05,239000000,395000000,-28000000,-1000000,151000000,370000000,,1011000000,,-269000000,792000000,2018-01-31,93000000,-529000000,341000000,2145000000,,0.138,2017-11-21,8698000000,37000000,215000000,-67000000,4397000000,1361000000,4172000000,972000000,-6000000,1211000000,4522000000,-272000000
2,0.38321095455447507,-0.03275048570635586,0.038283926709369975,0.1737958908723476,0.0327435404542509,A,271000000,-48000000,5332000000,3011000000,124000000,-16000000,-32000000,-11000000,18000000,57000000,72.02,3000000,562000000,,,50000000,,-48000000,220000000,,-15000000,0.65,0.01,0.64,,2618000000,644000000,227000000,22000000,314000000,-19000000,594000000,-10000000,1800000000,139000000,1,4000000,4000000,-30000000,205000000,205000000,205000000,754000000,1681000000,,74.94,220000000,390000000,28000000,-1000000,166000000,374000000,,1002000000,,-310000000,798000000,2018-04-30,91000000,-412000000,333000000,2115000000,,0.016,2018-02-15,8784000000,-114000000,303000000,-50000000,4525000000,1365000000,4167000000,986000000,7000000,1206000000,4613000000,-310000000
3,0.23237179487179493,0.015255977702801626,0.011398509425690317,0.025789239662072028,-0.10197880411141615,A,273000000,-33000000,5312000000,2131000000,-880000000,12000000,-32000000,5000000,3000000,-80000000,62.5,3000000,542000000,,,53000000,,-48000000,225000000,,-15000000,0.67,0.04,0.63,,,661000000,242000000,6000000,3448000000,-18000000,623000000,-10000000,1799000000,70000000,1,4000000,4000000,-315000000,236000000,236000000,236000000,733000000,1116000000,,61.84,225000000,363000000,,,180000000,328000000,,968000000,,-335000000,801000000,2018-07-31,97000000,-416000000,339000000,1799000000,,0.063,2018-05-15,8349000000,-589000000,197000000,-473000000,3667000000,1014000000,3781000000,978000000,17000000,1203000000,4564000000,-335000000
0,,0.1986863711001643,0.16613418530351431,0.048549267451881484,0.006009305163843936,AA,1618000000,-96000000,9584000000,1119000000,165000000,-37000000,-16000000,90000000,117000000,-137000000,36.72,2000000,2361000000,862000000,,195000000,,,319000000,,-4000000,0.72,-0.05,0.77,,,603000000,288000000,119000000,,-26000000,1323000000,-8000000,1384000000,1408000000,1,2256000000,2256000000,-46000000,113000000,113000000,169000000,1033000000,5862000000,,35.95,319000000,2760000000,-89000000,4000000,112000000,681000000,,4986000000,12000000,-4033000000,9282000000,2017-09-30,8000000,309000000,70000000,1401000000,,-0.065,2017-07-20,17254000000,-115000000,384000000,-100000000,3804000000,2766000000,9136000000,2645000000,-31000000,2964000000,5862000000,-4033000000
1,,0.0052631578947368585,0.3003812636165577,0.49032459425717856,-0.025666909052593626,AA,1898000000,-150000000,9590000000,1358000000,239000000,-6000000,-136000000,268000000,588000000,-347000000,46.54,2000000,2358000000,814000000,,188000000,,,552000000,,7000000,1.04,-0.18,1.22,,154000000,816000000,216000000,272000000,62000000,-27000000,1453000000,-22000000,1388000000,1410000000,1,2275000000,2275000000,18000000,-196000000,-196000000,-56000000,1043000000,4307000000,,46.5,552000000,2306000000,-76000000,,113000000,879000000,,6009000000,-2000000,-5182000000,9277000000,2017-12-31,9000000,113000000,70000000,1404000000,,-0.148,2017-10-19,17447000000,-53000000,455000000,-170000000,4238000000,3252000000,10649000000,2622000000,-336000000,3174000000,4523000000,-5182000000
2,0.36263736263736246,-0.09451283121218446,0.12815180660254755,0.316747572815534,-0.027802281311951726,AA,1813000000,-74000000,9633000000,1196000000,-162000000,43000000,-169000000,-106000000,119000000,-260000000,42.21,2000000,2381000000,700000000,,194000000,,,419000000,,4000000,0.77,0.07,0.7,,,709000000,412000000,138000000,,-26000000,1630000000,-5000000,1445000000,1413000000,1,2149000000,2149000000,57000000,150000000,150000000,274000000,1001000000,5368000000,,42.29,419000000,2500000000,-219000000,,59000000,732000000,,5158000000,21000000,-4530000000,9034000000,2018-03-31,8000000,263000000,67000000,1460000000,,0.1,2017-11-20,17096000000,-147000000,55000000,-74000000,4149000000,2976000000,9579000000,2671000000,-7000000,3090000000,5368000000,-4530000000
3,0.7460171568627452,0.33747946491433933,0.1813847429519071,0.5643700247049137,-0.07258390029478635,AA,1752000000,-95000000,9650000000,1089000000,-108000000,-252000000,-98000000,1000000,396000000,-762000000,53.0,2000000,2632000000,612000000,,193000000,,,643000000,,-11000000,1.52,0.2,1.32,,,947000000,410000000,180000000,,-32000000,1668000000,-5000000,1916000000,1390000000,1,2084000000,2084000000,489000000,75000000,75000000,230000000,1195000000,5024000000,,53.67,643000000,2291000000,-63000000,,52000000,827000000,,4481000000,39000000,-4967000000,8556000000,2018-06-30,9000000,339000000,64000000,1929000000,,0.152,2018-01-18,16518000000,433000000,-430000000,-100000000,4281000000,3013000000,9410000000,2936000000,-233000000,3579000000,5024000000,-4967000000
4,0.8702770780856421,0.27824402840542284,0.04228812072293375,0.23134328358208944,0.01387634068703046,AA,,,,,,,,,,,60.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.54,,,,,,,,,,,,,,,,,,,2018-04-19,,,,,,,,,,,,
0,,,,,,AABA,,,,,,,,,,,,,,,,,,,,,,0.09,-0.01,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016-06-30,,,,,,-0.1,,,,,,,,,,,,,
